,iteration_qEHVI,iteration_qNEHVI,iteration_random,mu,gap
66,,,,3.0065,0.2085
67,,,,2.5512,0.1917
68,,35.0,,4.6163,0.1892
69,,13.0,,6.44,0.1494
70,,,,3.3124,0.2364
71,,,,1.2603,0.3239
72,,,,1.7198,0.2844
73,,,,3.4365,0.2273
74,,,,1.6917,0.2994
75,,,,2.9401,0.3037
76,,4.0,,5.955,0.1782
77,0.0,0.0,0.0,2.8986,0.2046
78,0.0,0.0,0.0,4.5244,0.214
79,,,,1.0464,0.3164
80,,,,1.2864,0.2911
81,,,,2.9422,0.216
82,,,40.0,1.3803,0.3129
83,,,8.0,1.8207,0.1968
84,,,,1.0302,0.307
85,,,,2.6689,0.2486
86,0.0,0.0,0.0,4.0473,0.2052
87,,,,4.5421,0.2286
88,,,,1.2693,0.3344
89,0.0,0.0,0.0,1.9978,0.2929
90,,,,3.415,0.1808
91,,,,3.0869,0.3105
92,3.0,,,4.9059,0.1591
93,15.0,,,4.5556,0.2119
94,,,,1.5307,0.2165
95,,,6.0,2.3991,0.2142
96,,,,1.1769,0.2985
97,,,,1.2388,0.2496
98,,,,3.0307,0.2717
99,,,,3.1469,0.2249
100,,,,1.2558,0.3056
101,,,41.0,1.5862,0.2526
102,,,,2.8545,0.2775
103,,,,2.8326,0.222
104,,,,1.0341,0.2619
105,,,,1.5888,0.205
106,,,,2.9626,0.312
107,,,,1.8254,0.301
108,,,,1.4349,0.2989
109,,,,1.9595,0.2255
110,,,,2.7636,0.225
111,,,,2.7092,0.3144
112,,,,5.0772,0.2195
113,,,,1.4378,0.2132
114,,,,5.1209,0.2725
115,,,,3.461,0.2148
116,,,,5.3418,0.218
117,,,,0.2589,0.2345
118,,,,2.7881,0.2203
119,,,,2.1395,0.21
120,,,,1.1481,0.1614
121,0.0,0.0,0.0,2.0988,0.2202
122,,,,2.5149,0.2859
123,0.0,0.0,0.0,2.742,0.1903
124,,,,3.465,0.1673
125,,,,3.6695,0.2201
126,,,,3.7257,0.2603
127,,,,3.641,0.1998
128,,,,3.5914,0.2384
129,,,,1.3819,0.3239
130,,,,2.1907,0.2907
131,,,,2.6309,0.21
132,,,,5.4483,0.2519
133,26.0,,,5.8404,0.1878
134,,,,0.2397,0.3161
135,,,,2.1312,0.2432
136,,,,3.5868,0.2861
137,,,,4.3658,0.2508
138,,,,4.1723,0.261
139,,,,2.4901,0.2151
140,,,,4.3271,0.2382
141,,,,3.9184,0.2346
142,,,,1.5869,0.3215
143,,,,8.957,0.172
144,,45.0,,6.0153,0.2052
145,,,,0.1469,0.3405
146,,,,1.2517,0.2645
147,,,,2.1992,0.2469
148,,,,2.7125,0.2126
149,,,,2.7951,0.2448
150,,,,2.6664,0.246
151,,,,1.8339,0.237
152,,,,2.6734,0.3216
153,,,,0.7594,0.228
154,,,,1.9763,0.283
155,,,,2.5751,0.2804
156,,31.0,,5.2389,0.2704
157,,,,1.8417,0.2829
158,,,,3.965,0.2797
159,,,,4.3623,0.2411
160,,,,1.1107,0.2789
161,,,,3.3123,0.2283
162,,,,4.1988,0.2703
163,,,,1.5728,0.3226
164,,,,3.5477,0.2437
165,,,,2.6141,0.2056
166,,,,1.445,0.2112
167,,,,2.604,0.3075
168,,,21.0,4.6281,0.2567
169,0.0,0.0,0.0,2.4369,0.219
170,37.0,,,5.2518,0.2372
171,,,,1.8926,0.3149
172,,,,2.9269,0.1561
173,,,,1.5509,0.3185
174,,,,5.2746,0.2662
175,,,,3.568,0.2634
176,,,,3.8632,0.2822
177,,,,1.1106,0.2364
178,,,,1.6651,0.253
179,,,,0.088,0.3375
180,,,,3.2994,0.2655
181,,40.0,,3.6712,0.2761
182,,,,3.3578,0.2948
183,,,,0.9178,0.2224
184,,,,3.1022,0.1858
185,,,,2.213,0.2144
186,20.0,,,1.4827,0.1567
187,,,,1.6512,0.3201
188,,,12.0,1.9609,0.2416
189,,,,0.1104,0.2984
190,,,,1.8627,0.2422
191,,,2.0,2.5056,0.2182
192,,27.0,,2.6669,0.1501
193,,,34.0,2.0927,0.1948
194,,47.0,,1.8777,0.1562
195,,3.0,,1.9222,0.1667
196,,,47.0,2.2343,0.2141
197,,,,4.2237,0.2368
198,,,,1.7662,0.2225
199,2.0,,,3.9609,0.2153
200,,,,2.0267,0.2119
201,,,,0.9174,0.3054
202,,,,3.8907,0.2105
203,11.0,,,5.7535,0.265
204,0.0,0.0,0.0,5.1835,0.2607
205,,,,2.595,0.2674
206,,,,8.7867,0.2577
207,,,,1.7196,0.2494
208,,,,2.8558,0.2268
209,,,,1.4504,0.3158
210,,,,3.4836,0.3082
211,,34.0,,4.1334,0.268
212,,,,1.2332,0.3164
213,,,,4.4383,0.2505
214,,,,1.3999,0.2762
215,,,,4.1871,0.1938
216,,,,1.3909,0.3204
217,,,,2.6514,0.2226
218,,,,1.1838,0.2587
219,,,,6.3962,0.2547
220,,,,1.4042,0.3116
221,,,,2.8869,0.29
222,,,35.0,3.9195,0.276
223,,,,3.6225,0.2999
224,10.0,,,4.3423,0.1641
225,,,,4.1705,0.2481
226,,,,1.9367,0.2731
227,32.0,,,3.2007,0.1727
228,,,,2.4789,0.218
229,0.0,0.0,0.0,4.2904,0.2012
230,,,,1.9301,0.2868
231,,,,4.0875,0.1989
232,,,,2.1045,0.1873
233,,,,2.035,0.2771
234,,,,1.5953,0.2218
235,,,,5.0326,0.2859
236,,29.0,,4.7953,0.2515
237,5.0,,,4.1682,0.2259
238,,,,2.6592,0.3004
239,,,,1.9712,0.2448
240,,16.0,,1.9685,0.1978
241,,,,1.0232,0.3288
242,,,,2.2241,0.2049
243,,,,2.6074,0.2753
244,,,,3.9652,0.2313
245,,,,0.4381,0.1634
246,,48.0,,2.5109,0.2525
247,,,,1.7369,0.3221
248,,,,1.4345,0.3183
249,,8.0,,6.5855,0.1831
250,13.0,,,3.3966,0.1586
251,,,,0.1451,0.3352
252,,,,2.703,0.3072
253,,,,1.6687,0.3109
254,,,,1.4575,0.2342
255,,,,1.2885,0.2912
256,,,50.0,3.7609,0.266
257,,,,3.4924,0.2435
258,,,,0.9486,0.3275
259,,,,2.7626,0.2128
260,,,,1.8956,0.2941
261,,,,4.3026,0.263
262,,,,3.3213,0.3022
263,,,,1.1434,0.2381
264,,,,2.2715,0.3245
265,,,,2.9878,0.2415
266,,,,1.7499,0.3114
267,,,,1.0893,0.2494
268,,,,0.254,0.2477
269,,,,1.8635,0.3082
270,,,,1.7324,0.2428
271,,,,1.7289,0.3407
272,,,,3.4084,0.2645
273,,,3.0,4.9598,0.2052
274,,18.0,,4.879,0.2377
275,,,,1.5507,0.3143
276,,,,1.2521,0.2303
277,,,,4.0787,0.2144
278,,,,3.3992,0.2711
279,,,,1.777,0.221
280,,,,4.3263,0.2888
281,,,,1.4766,0.218
282,,,,3.8436,0.2305
283,,26.0,,3.482,0.2035
284,,9.0,,2.4237,0.1618
285,0.0,0.0,0.0,1.6901,0.2435
286,0.0,0.0,0.0,1.9489,0.2371
287,,,,3.0146,0.2557
288,,,,3.2426,0.2153
289,,,,3.7933,0.267
290,,,,3.0395,0.2022
291,,,,2.5745,0.2416
292,,,,2.9604,0.2546
293,27.0,,,3.2886,0.1442
294,,,,0.0428,0.3891
295,34.0,,,4.7107,0.1723
296,,,,1.1647,0.3284
297,,,,2.1926,0.3206
298,,,,2.9666,0.2316
299,0.0,0.0,0.0,4.739,0.3291
300,,,,1.61,0.3133
301,,,,1.7544,0.2792
302,,,,0.675,0.1966
303,,,,2.2478,0.2353
304,,,,4.7423,0.2234
305,,,,3.76,0.2138
306,,,,1.3438,0.2412
307,,,,3.1398,0.2839
308,,,28.0,1.4238,0.2019
309,,,,1.0181,0.23
310,,,,1.7326,0.3288
311,,,,4.794,0.3387
312,,6.0,,6.7017,0.2411
313,,,,3.5225,0.1817
314,,,,2.14,0.2194
315,,,,3.639,0.234
316,0.0,0.0,0.0,3.5449,0.219
317,,,,2.677,0.1546
318,,,,1.9174,0.2067
319,,,,4.124,0.2172
320,,,,2.6995,0.2786
321,,,,2.2604,0.2554
322,,,,2.3386,0.2208
323,,,,2.2726,0.202
324,0.0,0.0,0.0,3.556,0.2842
325,,,,1.4047,0.3108
326,,,,3.8677,0.2628
327,,,,2.7302,0.2263
328,,,,3.9925,0.2573
329,,,,6.154,0.1746
330,,,,3.9211,0.2132
331,,,,2.6471,0.2674
332,,,,2.289,0.2161
333,,,,0.8538,0.287
334,,,,2.011,0.3102
335,,,,2.9846,0.2306
336,,,,2.2213,0.2636
337,,,,2.9203,0.2277
338,,,,4.665,0.2016
339,,,,1.5347,0.2825
340,,,,2.3301,0.1913
341,,,,5.5275,0.2819
342,,,44.0,2.4942,0.2681
343,,,,3.4435,0.1987
344,,17.0,,2.2702,0.3569
345,,,,1.8827,0.3272
346,,,,1.3652,0.2333
347,,,,3.4392,0.2398
348,,,,2.45,0.3163
349,,,,1.4143,0.2863
350,,,,4.738,0.2328
351,0.0,0.0,0.0,2.0357,0.2374
352,,,,3.2557,0.2149
353,,,,1.6502,0.2083
354,,,,0.3741,0.2065
355,,,,3.1815,0.164
356,,,,3.652,0.2647
357,,,,1.2141,0.3066
358,,,,3.117,0.3126
359,,,,4.297,0.2478
360,,,,1.4818,0.3162
361,,,,2.2721,0.2581
362,,,,1.4967,0.2568
363,,,,1.1108,0.3133
364,,,,0.2583,0.2393
365,,,,1.647,0.2872
366,,,,2.4381,0.2233
367,,,,2.6815,0.3069
368,,,,3.7586,0.2781
369,,,,1.5519,0.3101
370,,,,1.6926,0.3296
371,,,,2.7734,0.2512
372,,,,3.8605,0.2329
373,,,,5.1753,0.2358
374,,,,3.8983,0.2004
375,,,,2.7853,0.1481
376,,,,3.0851,0.2754
377,,,,2.4242,0.2187
378,,,,2.1548,0.233
379,,,,2.9545,0.2588
380,,,,1.7243,0.2375
381,,1.0,,1.7174,0.2374
382,,,,4.6978,0.1999
383,,,,1.0064,0.2864
384,,,,0.3161,0.318
385,,,,2.5063,0.2457
386,,,,1.5906,0.2645
387,0.0,0.0,0.0,2.2968,0.2136
388,,,,2.39,0.2795
389,,,,2.5546,0.2766
390,,,,1.4804,0.3347
391,,,29.0,1.5562,0.3174
392,,,7.0,1.6186,0.2684
393,,,,1.0126,0.2932
394,,,,3.399,0.239
395,,,,3.2855,0.2559
396,,,,2.3901,0.2342
397,,,,2.0092,0.295
398,,,,4.5672,0.2234
399,33.0,,,3.3678,0.1598
400,,,,2.5469,0.2046
401,,,,1.5468,0.2919
402,,,,1.9449,0.2466
403,,7.0,,3.5068,0.2353
404,,,,1.1033,0.1941
405,,,,0.6022,0.2962
406,,,,2.865,0.2541
407,,,,2.7153,0.2264
408,,,,0.5981,0.2977
409,,,,3.1617,0.1884
410,,,,3.5,0.2719
411,,,,2.7229,0.334
412,,,,1.82,0.3287
413,,,,2.3061,0.2424
414,,,,5.4446,0.1821
415,,,,2.4149,0.22
416,,,,2.8426,0.2281
417,,,,3.2165,0.2147
418,,,,2.7139,0.2182
419,18.0,,,3.986,0.1788
420,23.0,,,2.2277,0.2677
421,,,,2.1287,0.2379
422,,,,4.548,0.2331
423,,,,2.2494,0.3142
424,,,,1.7908,0.2441
425,,,,1.8443,0.24
426,,,,5.7422,0.2662
427,,,,0.1609,0.1479
428,,,,4.6812,0.2682
429,,44.0,,3.0929,0.1593
430,,,,2.6725,0.3136
431,,,,2.3529,0.1656
432,,,,3.3778,0.1723
433,,,,3.2981,0.2135
434,9.0,,,2.747,0.2013
435,,,,3.3543,0.2443
436,,,,3.2082,0.2846
437,,,,0.6626,0.3106
438,,,,4.6794,0.2545
439,,,,1.943,0.2555
440,,,,0.8393,0.2301
441,,,,1.7596,0.2597
442,,,,1.7923,0.2868
443,,,,4.0111,0.2622
444,,,,3.2957,0.2598
445,,,,2.4438,0.183
446,,,,2.6703,0.2049
447,,19.0,,4.0331,0.1901
448,,,,3.367,0.2736
449,,,,1.9645,0.2407
450,,,,4.3657,0.2465
451,,,,1.769,0.2912
452,,,,1.7211,0.2872
453,0.0,0.0,0.0,5.7013,0.1937
454,,,,1.9802,0.2695
455,,,,3.8593,0.1905
456,,,,2.8059,0.2621
457,,,,4.4599,0.2402
458,,,,1.0062,0.1533
459,,41.0,,4.9268,0.1589
460,,,,3.2552,0.2781
461,,,,2.8604,0.2903
462,,,,6.441,0.2396
463,,,,3.5197,0.259
464,,,,5.3649,0.2668
465,,,17.0,2.5813,0.2977
466,,,,1.7779,0.3199
467,,,10.0,4.9076,0.266
468,,,,2.9996,0.2168
469,,42.0,,4.3085,0.2162
470,,,,1.9135,0.2887
471,0.0,0.0,0.0,1.3389,0.2991
472,,,,4.2358,0.229
473,,,,3.8034,0.2555
474,,,,2.4638,0.3276
475,,,14.0,1.5665,0.2545
476,,,,1.9171,0.2974
477,,,,3.7958,0.2025
478,,,,3.18,0.2174
479,,,,1.4853,0.2596
480,,,,3.86,0.2534
481,,,,2.0714,0.2115
482,,,,3.402,0.294
483,,,,0.2792,0.2257
484,,,22.0,2.5693,0.2493
485,,,,3.2147,0.2314
486,,,,3.929,0.2978
487,,,,1.4645,0.2218
488,,,,1.7774,0.2104
489,,,,3.0505,0.2104
490,,,,1.2875,0.3331
491,,,,1.8348,0.3214
492,,,,2.1934,0.2363
493,,,,3.1777,0.143
494,,,,1.1066,0.2197
495,,,,1.7106,0.2038
496,,,,2.2227,0.3057
497,,,,0.7933,0.2901
498,,,,4.3831,0.2703
499,28.0,,,3.5705,0.1587
500,,,,0.2851,0.2567
501,,,,1.6874,0.3183
502,,,,4.3712,0.205
503,,,,1.2653,0.285
504,,,,2.6723,0.2186
505,,,,4.1609,0.2746
506,,,,2.0357,0.2699
507,,,,5.9077,0.2842
508,,,,0.5636,0.1798
509,,,,1.8032,0.2305
510,0.0,0.0,0.0,1.9924,0.2502
511,,,,1.7527,0.2781
512,,,,2.7522,0.3072
513,,,,2.2207,0.296
514,,,,4.2236,0.2609
515,,32.0,,3.4851,0.1659
516,,,,1.2111,0.2304
517,,,,5.0923,0.2044
518,,,,2.0086,0.2249
519,,,,2.4938,0.3213
520,,,,3.219,0.2711
521,,,,1.8271,0.302
522,,,,3.5525,0.2615
523,0.0,0.0,0.0,3.6741,0.2213
524,,,,2.9065,0.1886
525,,12.0,,3.1487,0.1777
526,30.0,,,2.2015,0.2022
527,,22.0,,3.4302,0.1382
528,,,,2.0412,0.2974
529,,,,1.727,0.1721
530,,,,2.5515,0.3037
531,,,,2.007,0.2508
532,,,,1.3418,0.206
533,,,,1.0312,0.324
534,0.0,0.0,0.0,2.8763,0.1594
535,19.0,,,2.9587,0.2065
536,29.0,,,1.977,0.1739
537,,,,1.6354,0.3061
538,,,,2.8354,0.2271
539,,,25.0,5.6923,0.1859
540,,,,4.7064,0.2338
541,,,,1.6749,0.3331
542,,,,1.3796,0.2493
543,,,,1.5235,0.2602
544,,,,1.608,0.2457
545,,,,3.0513,0.2237
546,,,,2.7586,0.2082
547,,,,4.4387,0.2619
548,,,,1.3051,0.2297
549,,,,4.0935,0.3041
550,,,,1.4129,0.2958
551,,,9.0,2.4158,0.227
552,,,,3.2929,0.2927
553,,,,1.9934,0.1855
554,,,,0.7619,0.2555
555,,,,2.388,0.2338
556,,,,1.1734,0.2939
557,,,,2.5356,0.2077
558,,,39.0,3.4228,0.2436
559,,,,2.6321,0.2074
560,,,,3.6529,0.1927
561,,,,1.8566,0.2184
562,,,,4.1496,0.2134
563,,,,2.1199,0.2466
564,,,,1.501,0.2888
565,,,,3.2138,0.2085
566,,,,1.4996,0.2183
567,,,,2.3473,0.316
568,,,,1.3083,0.233
569,,,,1.4534,0.2315
570,,,,2.8306,0.2528
571,,,,1.7683,0.2169
572,,,,3.0793,0.2575
573,0.0,0.0,0.0,3.3473,0.216
574,,,,1.6643,0.3101
575,,,,1.9765,0.2684
576,,,,2.0846,0.2909
577,,,,5.3027,0.2693
578,,,4.0,1.5423,0.2244
579,,,,1.5644,0.2417
580,,,,3.8084,0.2489
581,,,,1.2094,0.1904
582,,,23.0,4.1193,0.2422
583,,,,2.3021,0.3196
584,,,,2.6169,0.2596
585,,,,1.4186,0.2108
586,,,,2.9018,0.1975
587,0.0,0.0,0.0,2.9842,0.2364
588,,,,1.5676,0.2831
589,0.0,0.0,0.0,1.8787,0.2557
590,,,,2.7412,0.2138
591,,,,3.7464,0.2451
592,,38.0,,3.2276,0.1901
593,,,,1.7498,0.3115
594,,,,1.8155,0.205
595,,,,3.9689,0.2463
596,,,,4.6712,0.1982
597,,,,1.9094,0.3027
598,,,11.0,1.1392,0.205
599,,,,1.046,0.2405
600,,,,0.5825,0.1969
601,,,,1.1572,0.3237
602,,,,3.2468,0.2271
603,,,,1.8842,0.2209
604,,,,5.5201,0.2282
605,,,,0.9542,0.3457
606,,,,1.9989,0.3182
607,,,,3.0378,0.2
608,,,,0.7941,0.1982
609,,,,3.5729,0.2712
610,0.0,0.0,0.0,1.1987,0.2455
611,0.0,0.0,0.0,3.7215,0.2633
612,,,,2.278,0.2465
613,,,48.0,4.0386,0.2766
614,,,,1.5926,0.3256
615,,,,0.1836,0.3232
616,,,,4.8964,0.251
617,,,,3.8943,0.2565
618,0.0,0.0,0.0,3.0326,0.2223
619,,,,3.8761,0.2392
620,,43.0,,1.4168,0.2581
621,22.0,,,3.452,0.1985
622,,,,1.3472,0.2124
623,,,,1.8666,0.157
624,,,,3.3422,0.1452
625,,,,0.5445,0.2209
626,,,,2.0559,0.201
627,,,,1.7105,0.2904
628,,,,2.4633,0.3092
629,0.0,0.0,0.0,1.9721,0.3201
630,,,13.0,3.1397,0.2505
631,,,,0.3246,0.2253
632,,,,0.4462,0.2409
633,,,,2.2593,0.2727
634,,,,1.4492,0.3174
635,,,,4.3284,0.3094
636,,,,1.5423,0.1648
637,,,,3.6846,0.2122
638,,,,1.06,0.2338
639,,37.0,,3.0353,0.2746
640,,25.0,,0.4663,0.1584
641,,,,1.3782,0.3285
642,,,,2.6074,0.2496
643,,,45.0,1.6472,0.2609
644,,36.0,,1.6609,0.1717
645,,,,2.3994,0.2889
646,,24.0,,4.9793,0.2532
647,,,,1.6405,0.2049
648,,,,1.5568,0.2794
649,,,,1.6137,0.2807
650,7.0,,,1.7108,0.2036
651,,,,3.9064,0.259
652,0.0,0.0,0.0,1.608,0.2223
653,,,,3.5037,0.2217
654,,,,4.0349,0.246
655,,,,0.2728,0.2577
656,,,,0.9584,0.2357
657,,33.0,,3.0983,0.1809
658,,,,1.6581,0.1992
659,,,,1.8335,0.2286
660,,21.0,,3.3219,0.1741
661,,,,5.3403,0.2263
662,,,,0.4543,0.3251
663,,,,3.2131,0.2735
664,,,,2.4109,0.2132
665,0.0,0.0,0.0,2.3885,0.215
666,41.0,,,16.5398,0.1138
667,,,,1.2953,0.341
668,,,,1.7344,0.2245
669,,,,0.8418,0.3115
670,,,,0.5413,0.1927
671,,,,1.1034,0.2417
672,,,,4.3246,0.3361
673,,,,4.0655,0.2502
674,,,,2.5595,0.2042
675,,,,1.6417,0.2218
676,,,,1.9717,0.1814
677,,20.0,,2.1261,0.1302
678,,,,1.5442,0.2031
679,,,,1.4173,0.2408
680,,28.0,,4.1664,0.2173
681,,,,4.17,0.2611
682,,,,1.5366,0.3275
683,,,,2.7269,0.2406
684,,14.0,,5.3249,0.2779
685,,,,4.2366,0.1661
686,,,42.0,1.6037,0.2325
687,0.0,0.0,0.0,2.5866,0.1982
688,,,,1.5683,0.2606
689,,,,5.4911,0.2656
690,,,,2.0421,0.2501
691,,,,2.2877,0.1911
692,,,,0.791,0.2503
693,,2.0,,3.4829,0.1512
694,,,,1.7508,0.2879
695,,,,1.4214,0.3027
696,,,,1.0735,0.2405
697,,,,1.9486,0.2708
698,,,,1.3993,0.3121
699,,,,3.4066,0.2506
700,,,,3.0008,0.2666
701,,,,3.5749,0.2874
702,,,18.0,2.4525,0.2472
703,,,,0.7491,0.3002
704,,,,3.6707,0.2553
705,,,,1.2697,0.1823
706,,,,1.6113,0.1592
707,,,20.0,2.2963,0.315
708,,,,3.4434,0.2307
709,,,,4.1845,0.3309
710,,,,2.8168,0.3014
711,,,,3.4515,0.2626
712,,,,3.4547,0.2603
713,,,,3.81,0.3064
714,,,,1.9742,0.2073
715,,,,2.7996,0.1854
716,,,,0.8939,0.2383
717,,,,2.9746,0.2547
718,,,,2.1112,0.2378
719,,,,1.2311,0.3445
720,,,,4.5443,0.2056
721,,,,2.5608,0.2507
722,,,,0.0269,0.3111
723,,,,5.4232,0.2716
724,,,,0.7719,0.3087
725,,,,1.5754,0.3053
726,,,,1.987,0.2498
727,,,,3.3194,0.2957
728,,,,0.9868,0.3265
729,,,32.0,1.7407,0.2317
730,,,,3.2968,0.2306
731,17.0,,,6.5668,0.1597
732,,,,5.3524,0.2203
733,,,,1.6841,0.3085
734,,,30.0,1.8356,0.2373
735,0.0,0.0,0.0,5.916,0.204
736,,,,0.499,0.3151
737,0.0,0.0,0.0,1.4088,0.2471
738,,,,2.6109,0.3075
739,,,,1.2036,0.3168
740,,,,2.7918,0.1688
741,,,,2.6443,0.2491
742,,,,3.9016,0.2745
743,12.0,,,5.5158,0.2076
744,,,,3.2304,0.2257
745,31.0,,,3.7721,0.1738
746,1.0,,,2.4519,0.2282
747,,,,3.3693,0.2702
748,,,,1.4392,0.3317
749,0.0,0.0,0.0,1.6892,0.3159
750,,,,1.5395,0.2555
751,,,,3.8603,0.2851
752,,,,2.9563,0.2049
753,,,16.0,0.9859,0.209
754,,,,5.1655,0.2686
755,,,,3.2791,0.246
756,,,,1.9391,0.1888
757,,50.0,,3.0311,0.2252
758,,,,1.4705,0.2971
759,,,,1.9378,0.2818
760,,,,5.5765,0.2307
761,0.0,0.0,0.0,2.0888,0.2707
762,,,,1.2553,0.3131
763,,,,0.7007,0.292
764,,,,2.4699,0.2797
765,,,,0.4711,0.2455
766,,,,1.3018,0.2434
767,,,,2.6177,0.3288
768,,,,5.0802,0.2412
769,,,,5.8411,0.2844
770,,,,3.7529,0.2364
771,,,,2.519,0.1991
772,0.0,0.0,0.0,4.2747,0.2407
773,,,,5.3965,0.2631
774,,,,1.629,0.3222
775,,,,1.7976,0.3088
776,,,,1.2299,0.2959
777,,,,1.1661,0.1601
778,,,,1.9915,0.3199
779,,,,2.5863,0.313
780,,,,0.6674,0.1731
781,0.0,0.0,0.0,2.0579,0.2128
782,,,,2.8454,0.2242
783,,,,4.1325,0.2867
784,,,,4.001,0.2535
785,,,,3.6959,0.2765
786,,,,5.4761,0.2807
787,0.0,0.0,0.0,2.8711,0.2606
788,,,,0.2539,0.3001
789,,,,1.2093,0.2898
790,,,,1.1239,0.2623
791,,,,0.9855,0.3368
792,0.0,0.0,0.0,6.0902,0.2817
793,,,,0.1825,0.3156
794,,,,6.2675,0.206
795,,,,2.9847,0.1831
796,,,,6.0218,0.1921
797,,,,1.6317,0.312
798,,46.0,,14.0654,0.1551
799,,,,0.9807,0.2417
800,,,,5.8541,0.2171
801,,,,1.9635,0.3096
802,,,,1.1174,0.328
803,,,,3.743,0.1959
804,,,,0.9927,0.2812
805,,,,2.413,0.2808
806,,,,2.0866,0.2415
807,,,,3.4962,0.164
808,,,,1.0909,0.2513
809,,,,2.6131,0.3128
810,,,,4.1649,0.2355
811,,,,3.3602,0.3094
812,,,,2.3104,0.3039
813,,,,2.9713,0.2902
814,,,,3.733,0.1679
815,,,,4.6419,0.2209
816,,,,1.4305,0.2288
817,,,,3.1252,0.2698
818,,,,1.8461,0.2852
819,,49.0,,5.7171,0.1879
820,,,,1.7993,0.2343
821,,,,5.0163,0.2848
822,,,,2.4844,0.216
823,,,,0.6525,0.327
824,,,,0.778,0.2384
825,,,36.0,3.1666,0.2857
826,,,,3.8875,0.2316
827,,,,2.407,0.2544
828,,,,1.4723,0.3215
829,,,,1.352,0.3349
830,,,38.0,2.9045,0.2061
831,,,,2.8873,0.1766
832,,,,5.3384,0.2757
833,,,,1.1424,0.2875
834,,,,2.401,0.3318
835,,,,3.3574,0.2887
836,,,,4.5353,0.2813
837,,,,1.9303,0.2767
838,,,,1.4964,0.3058
839,,,,0.5577,0.3106
840,,,,1.0856,0.2647
841,,,,3.8045,0.2729
842,,,,3.5967,0.1919
843,0.0,0.0,0.0,1.9532,0.2785
844,8.0,,,3.2113,0.1555
845,,,,3.2146,0.2224
846,,,,2.0175,0.1675
847,,,,2.7427,0.2478
848,,,,1.7768,0.2193
849,24.0,,,1.7909,0.1987
850,25.0,,,2.9784,0.1514
851,,,,2.548,0.2187
852,,,,2.6746,0.264
853,,,,1.645,0.2171
854,,,,3.6797,0.2699
855,,,,1.6619,0.2451
856,,,,1.8949,0.2449
857,,,43.0,2.6961,0.2071
858,,,,0.1028,0.3306
859,,,,4.3143,0.2558
860,,,,2.2089,0.1992
861,,,,0.8792,0.2332
862,,,,3.6174,0.1801
863,0.0,0.0,0.0,0.7672,0.34
864,,,,3.3087,0.1795
865,,,,3.9181,0.2159
866,,,,5.7184,0.2804
867,,,,1.5963,0.309
868,,,,4.7081,0.208
869,,5.0,,5.5044,0.2283
870,,,,1.8429,0.2484
871,,,,3.9596,0.3247
872,16.0,,,1.249,0.1064
873,,,,5.591,0.235
874,0.0,0.0,0.0,5.9805,0.3269
875,,,,1.7482,0.2424
876,,,,4.5514,0.2199
877,,11.0,,2.5704,0.1481
878,,,,1.5496,0.3202
879,,,,2.1997,0.2605
880,,10.0,,1.1328,0.2206
881,,,,0.0004,0.3296
882,,23.0,,5.3473,0.1937
883,,,,1.9501,0.2618
884,,,,3.9389,0.2254
885,,,,2.3843,0.2778
