,iteration_qEHVI,iteration_qNEHVI,iteration_random,mu,G_free_energy
178,,,,3.7926,-434.104063
179,,29.0,,3.5644,-452.773122
180,,2.0,,1.4827,-497.904677
181,,49.0,,2.0615,-455.237238
182,0.0,0.0,0.0,1.2819,-455.225213
183,,,,1.8627,-421.871469
184,,,,4.1556,-432.928792
185,,,,1.1432,-423.083435
186,,,,1.6976,-387.107503
187,,,,3.0124,-439.152534
188,,43.0,,3.8605,-491.130988
189,,,,1.4858,-388.317181
190,,1.0,,4.5927,-378.76561
191,,,,6.5838,-437.879686
192,,,,0.9211,-423.030273
193,,,,4.4494,-364.834992
194,,,,4.9861,-439.096484
195,,,,4.1915,-403.174998
196,,,,3.5819,-415.4541
197,,,,4.302,-287.499782
198,,,,2.0497,-437.811855
199,,,,4.8648,-345.235729
200,,,19.0,1.7521,-388.305356
201,,,,1.6954,-363.941976
202,,,,1.3878,-387.049194
203,,,,4.8377,-404.407432
204,,,,0.5273,-504.872319
205,,,22.0,2.4771,-362.65644
206,,,,1.1002,-420.543706
207,,,12.0,1.1552,-439.122065
208,,,,6.1233,-439.138609
209,,,3.0,1.4829,-364.718122
210,29.0,,,4.5786,-473.868536
211,,,,4.308,-439.109502
212,,,,3.2679,-421.839571
213,,,,1.2079,-347.772922
214,18.0,,,4.1333,-477.492283
215,,,,1.6234,-388.350141
216,,,,1.4285,-385.938518
217,,13.0,,3.7931,-437.034664
218,,,,1.4226,-404.342755
219,40.0,,,3.7984,-471.186472
220,,,,1.6063,-388.301696
221,,,,2.3101,-455.188251
222,,,,2.7526,-421.831413
223,,,,2.9633,-439.119962
224,,,,0.064,-354.814963
225,,,,2.3889,-421.832342
226,,36.0,,2.2079,-477.480756
227,,,,3.6031,-357.658664
228,28.0,,,4.7863,-401.093275
229,,,,1.5647,-379.940649
230,,,,2.9862,-437.867364
231,,,33.0,0.8347,-420.610544
232,,,,4.6466,-461.41241
233,,,,1.6942,-439.053004
234,,,,1.2552,-403.132977
235,,,,4.068,-419.218286
236,,,,3.3966,-379.778278
237,,,,2.7374,-437.868513
238,,,,4.0757,-418.013048
239,,,,6.134,-396.971174
240,,,,3.9672,-417.98841
241,,,,2.6373,-423.083582
242,,,,3.4736,-435.29179
243,0.0,0.0,0.0,3.8489,-440.314548
244,0.0,0.0,0.0,2.6986,-439.115263
245,,,,3.0765,-401.964762
246,,,,1.4429,-389.52849
247,,,,3.467,-424.231468
248,,,,4.3044,-455.190891
249,,,,4.8846,-440.34241
250,,,,1.2227,-424.258577
251,,,,1.9293,-385.91682
252,,,,1.7062,-327.898845
253,,,,5.1611,-399.605679
254,,,,4.7317,-402.037126
255,,,,2.0426,-434.082661
256,,,,2.9716,-384.450415
257,,,,4.0963,-418.023204
258,,,,3.4102,-460.18766
259,0.0,0.0,0.0,2.9472,-398.474113
260,,,,2.1013,-424.221102
261,,,,0.4986,-424.253883
262,,,,6.7287,-450.208057
263,,,,1.7789,-399.610003
264,,,,3.2068,-458.95983
265,,,,1.159,-363.821392
266,,4.0,,4.5704,-478.068087
267,,,,1.0338,-400.610797
268,,,,2.9331,-441.476121
269,,,,2.0212,-425.456263
270,,,,1.1835,-387.076474
271,,,,1.0827,-344.056655
272,,,,0.4155,-424.226756
273,,,,1.3746,-421.815157
274,,,,3.1387,-424.2546
275,,,,3.178,-385.953023
276,,,,4.2212,-400.683928
277,,,,2.4833,-404.346903
278,,,,0.2217,-349.928796
279,0.0,0.0,0.0,1.1262,-434.077827
280,31.0,,,3.0038,-494.953645
281,,,,1.6559,-387.137965
282,,,,1.7198,-347.778012
283,,,,1.3768,-327.948414
284,,,,4.3166,-394.868548
285,34.0,,,3.9699,-459.052514
286,,,,2.9405,-437.970152
287,,,,1.3116,-388.331394
288,,,,0.9415,-366.03677
289,19.0,,,5.1244,-437.894725
290,,,,5.184,-383.295811
291,,10.0,,3.691,-490.342883
292,,,17.0,1.5014,-388.331346
293,,,,1.8098,-383.758013
294,0.0,0.0,0.0,1.3082,-385.885413
295,,,,1.6316,-324.60855
296,,,,3.7091,-404.412754
297,,,,0.8247,-349.947461
298,,,,1.6682,-385.881187
299,,,,4.1927,-403.210551
300,,,,4.8225,-455.202963
301,,,,1.7796,-441.490021
302,,,,3.0011,-437.886425
303,,,,1.0509,-388.285966
304,38.0,,,1.4345,-470.035252
305,47.0,,,5.3905,-475.030192
306,,,,1.739,-439.08212
307,,,,2.1424,-424.236647
308,,,,6.4111,-437.965716
309,,,,1.4891,-401.881249
310,,,16.0,0.103,-351.194098
311,,,,1.7234,-440.255652
312,,,,4.209,-432.963187
313,,,,1.3677,-458.970085
314,,,,1.72,-424.256762
315,0.0,0.0,0.0,3.6752,-380.937037
316,,,,6.5277,-416.824251
317,,,,2.2754,-387.372385
318,,,,3.9664,-397.244004
319,,,,1.3362,-421.856527
320,,,,4.5318,-421.838501
321,,,,1.7194,-387.062739
322,,,,4.443,-477.468159
323,,,,3.169,-439.116878
324,,,,2.4452,-401.889693
325,,,,2.6721,-440.337841
326,,,,3.3035,-440.377902
327,,,,2.2852,-422.964149
328,,,,4.1303,-379.995676
329,,,,3.8706,-471.228465
330,,,,3.8612,-437.991838
331,,,,4.6607,-439.141235
332,,,,4.0275,-456.547258
333,,,,1.0323,-424.27329
334,36.0,,,1.7009,-419.681772
335,,,,2.4083,-422.973738
336,,,,0.1152,-352.414808
337,,,,3.4665,-432.849353
338,,,,1.1847,-387.085664
339,,,,3.5437,-324.610462
340,,,,6.9039,-454.045226
341,,,,4.1299,-439.110092
342,,,2.0,3.4611,-419.24011
343,,,,2.7671,-389.552477
344,,,,2.1979,-415.921047
345,,,,1.3545,-403.188779
346,,,,3.6368,-437.858928
347,,,23.0,5.279,-396.999958
348,,,,4.0332,-418.069178
349,,,,3.5871,-380.776844
350,,,,2.3438,-383.270124
351,,,,2.7213,-430.288927
352,,,,3.768,-357.653463
353,,42.0,,3.5992,-471.238998
354,,,,3.5572,-403.219215
355,,,,1.3135,-401.979312
356,,,,3.7851,-439.131871
357,,,,2.6262,-452.742303
358,,,,3.3177,-401.975635
359,,,,3.4974,-423.036452
360,,,,3.2375,-421.853095
361,,,,3.4231,-382.499527
362,0.0,0.0,0.0,5.1513,-398.098651
363,,,,3.0488,-403.185402
364,,,,1.7387,-387.117509
365,,,,1.533,-387.122743
366,,,,3.84,-436.578644
367,22.0,,,1.1922,-483.654708
368,,,,3.2607,-439.143456
369,0.0,0.0,0.0,3.128,-437.939297
370,,,40.0,4.7183,-382.077216
371,,,,1.6518,-423.062996
372,,,,3.1799,-423.078413
373,,,,3.4237,-308.55588
374,,,,3.8386,-403.160599
375,,,,1.8783,-388.292407
376,,,,2.971,-387.172374
377,,,,3.4086,-416.888656
378,,,,2.2191,-418.016937
379,6.0,,,4.3936,-437.01519
380,,,,5.1086,-380.818204
381,,,,3.0942,-399.815141
382,30.0,,,4.8509,-436.756319
383,,,,1.3157,-401.883538
384,,,,1.7115,-404.345301
385,,,,2.5089,-460.100997
386,,,,1.6843,-461.418235
387,,,,5.6483,-416.772464
388,,32.0,,4.3173,-494.854454
389,,40.0,,3.6511,-459.007266
390,,,,0.4154,-455.191656
391,,,,5.0208,-398.521818
392,,,,3.6135,-380.877356
393,,,,6.7713,-413.015458
394,,,,3.2777,-403.137423
395,,,,6.6221,-441.569894
396,,,,0.3435,-380.95913
397,,,,2.4563,-425.464517
398,,,,1.0062,-381.992703
399,,,38.0,0.6727,-313.083784
400,,,,1.3796,-387.116167
401,,,,2.278,-402.045329
402,,,,3.5152,-380.928118
403,45.0,,,2.7018,-454.019385
404,,,,2.3537,-424.255034
405,,,,2.7549,-460.225818
406,,,,2.2673,-458.937832
407,,,,3.5131,-421.881238
408,,,,2.554,-437.936562
409,,,,1.7675,-416.801675
410,,,,1.1259,-387.103311
411,,,,4.3657,-456.384839
412,,,,4.6348,-379.625738
413,14.0,,,2.767,-496.127408
414,,,,3.4835,-363.902099
415,0.0,0.0,0.0,2.9422,-453.990024
416,,47.0,,3.0028,-461.405176
417,,,,3.2641,-363.874654
418,,,,2.8422,-387.124112
419,,,,1.2404,-387.121473
420,,,,4.4475,-418.045991
421,,,,3.2138,-405.640317
422,,,,4.2237,-403.142239
423,,,,2.9405,-457.782674
424,,,,1.3754,-347.786565
425,,,18.0,3.2456,-405.63801
426,32.0,,,0.7872,-457.785949
427,,,,5.4093,-436.561885
428,,,,1.2643,-421.741005
429,,,,2.4666,-458.973601
430,,,,1.8109,-387.069666
431,,,,1.7548,-403.155254
432,,,,4.1198,-432.946759
433,,,,2.7864,-418.043013
434,,,,1.6909,-385.931823
435,,,,1.9733,-437.944838
436,,,,2.3946,-458.967216
437,,,,4.3172,-398.682763
438,,,39.0,2.1728,-423.006356
439,,,,2.7582,-424.266386
440,,,,3.5093,-437.886169
441,,,6.0,2.1543,-357.659634
442,,,43.0,1.1401,-387.070613
443,,,,2.921,-424.22183
444,,,,2.5118,-365.091533
445,,,,0.8515,-387.096864
446,,,,1.43,-389.549822
447,0.0,0.0,0.0,3.4963,-454.061
448,0.0,0.0,0.0,1.1033,-400.712873
449,,,,2.4135,-439.083017
450,,,,3.2945,-382.522722
451,,,,6.3924,-411.841057
452,,3.0,,1.4899,-486.133226
453,,,,2.4099,-399.81458
454,,,,4.0921,-471.222233
455,,,,4.1849,-401.965868
456,,,,2.981,-403.236675
457,,,,2.3539,-419.232733
458,,39.0,,6.1639,-450.139799
459,,,,3.6597,-437.892472
460,24.0,,,5.0597,-430.804692
461,,,9.0,2.1795,-383.338945
462,26.0,,,4.2408,-450.230899
463,43.0,,,7.059,-448.956751
464,,,,2.0254,-423.036419
465,,,,2.5519,-403.193112
466,,16.0,,4.4358,-489.942624
467,,,,0.1986,-352.428582
468,,,,2.9157,-403.19364
469,,,,2.0161,-388.321275
470,,,,1.2673,-424.268278
471,,,,5.8863,-447.795938
472,,,,0.2651,-351.163286
473,,,,5.6736,-437.977089
474,,,,3.9812,-439.151112
475,,,,3.902,-381.202008
476,,,,2.3746,-425.449885
477,,,,2.5588,-404.330345
478,,,,5.127,-439.147879
479,,,,1.6933,-350.235042
480,,,,0.8015,-310.668214
481,,,,3.1645,-436.703428
482,,,,1.9096,-395.806256
483,,,,1.7493,-387.086001
484,,,26.0,0.4288,-424.215369
485,,,,2.8605,-461.376997
486,23.0,,,0.7184,-477.959131
487,,,,3.2518,-403.196324
488,12.0,,,3.6746,-489.943283
489,,,,3.6339,-419.268425
490,,,,2.674,-459.005225
491,,5.0,,2.8283,-509.855867
492,,,,1.5491,-348.732605
493,,,,3.3739,-401.964517
494,,22.0,,4.8796,-458.988995
495,,,,5.009,-439.152978
496,,25.0,,4.2139,-492.341057
497,,,,2.9126,-403.1548
498,,,4.0,1.3457,-385.995819
499,0.0,0.0,0.0,3.5035,-419.254247
500,,,,2.9893,-403.146943
501,,,,3.6542,-403.187126
502,,,,0.5279,-351.1883
503,,,,2.663,-420.955234
504,,,,3.2435,-437.882783
505,,,,2.1384,-394.89148
506,,,,0.8309,-366.259001
507,,,,3.3448,-400.752566
508,,,,0.7133,-421.865139
509,,,,1.5224,-440.3309
510,,,,5.1214,-423.103666
511,,,,3.1747,-434.124662
512,,,,2.4642,-389.560911
513,,,,4.12,-459.012369
514,,,,0.9549,-388.348482
515,,,,2.5493,-421.811067
516,,15.0,,4.9404,-477.498849
517,,,,3.3142,-382.085604
518,,,,2.4027,-414.770508
519,,,,0.9251,-421.721303
520,,,,4.3152,-382.563809
521,,,,0.8563,-423.034432
522,,,,4.0898,-473.851639
523,,,50.0,3.7481,-421.833253
524,,,,2.5469,-384.929465
525,,,,5.0816,-401.992988
526,,,,2.5929,-384.917654
527,,,,4.698,-380.8617
528,,,,1.4511,-388.326998
529,,,,2.727,-382.023861
530,,31.0,,3.2115,-382.845631
531,,,,3.8802,-416.898292
532,,37.0,,5.4655,-434.150007
533,,35.0,,4.4767,-457.792089
534,,,,4.1006,-439.013611
535,,,,4.6455,-384.673164
536,,,,1.3566,-404.335622
537,,,,1.6242,-424.288619
538,,,,5.871,-435.308543
539,,,36.0,2.333,-435.300859
540,,,,3.5041,-418.027463
541,0.0,0.0,0.0,3.8335,-437.99853
542,,,,3.7593,-401.974341
543,,,,1.6642,-387.06355
544,,,,2.3802,-403.098742
545,,,,2.6194,-419.213455
546,,,,2.6084,-423.045457
547,,,,1.9119,-424.227755
548,,,,1.5235,-404.365511
549,,,,3.6453,-383.736111
550,,,,4.1619,-439.158799
551,,,,3.9779,-419.246515
552,,,,2.9629,-434.08478
553,,,,2.3586,-419.304136
554,,,42.0,2.0909,-387.031344
555,,,,0.6461,-352.370931
556,,48.0,,4.9291,-477.471999
557,,,,3.3542,-439.146673
558,8.0,,,2.8532,-446.803669
559,,,,4.6763,-380.87122
560,,,,2.0903,-340.56622
561,,,,1.7402,-387.12986
562,,,,1.1709,-439.096005
563,,44.0,,2.5286,-475.052694
564,,,,1.3315,-403.069985
565,,,,2.2258,-396.019
566,,,,2.3691,-388.345672
567,,,,4.3213,-460.169847
568,,,,4.6463,-423.056372
569,,,,4.1705,-379.597386
570,,,,1.709,-387.042273
571,,,,2.224,-425.451973
572,,,,4.1994,-395.811404
573,,,,2.9821,-396.908299
574,,,,6.5626,-470.031339
575,,,,1.9621,-380.906482
576,2.0,,,1.6666,-486.025611
577,,,,1.2704,-363.794965
578,,,,1.6684,-387.074393
579,,,,2.2261,-437.858847
580,,,,7.6945,-432.947344
581,,,34.0,2.1518,-387.072279
582,,,,2.5848,-439.0936
583,,,,2.4748,-346.861198
584,0.0,0.0,0.0,0.2662,-351.179909
585,,,,3.751,-404.446848
586,,21.0,,5.7489,-437.971798
587,,,1.0,2.475,-403.159732
588,,,,1.355,-387.090994
589,,,35.0,2.0735,-365.047446
590,,,,1.4311,-420.48053
591,,,,1.6193,-403.088029
592,,,,2.0388,-424.239105
593,,,,0.5394,-348.702584
594,,,,2.2652,-421.774504
595,,,,2.7684,-365.036333
596,,,,2.4995,-422.978765
597,,,,2.4757,-423.044037
598,,,,1.6911,-308.47763
599,,,5.0,2.3085,-403.087097
600,,,,3.0973,-382.108643
601,,,,1.4645,-418.061902
602,0.0,0.0,0.0,3.4819,-387.118447
603,,,,1.0242,-384.660442
604,,,,0.6615,-440.340133
605,,,,3.6628,-402.00223
606,,,,2.6627,-399.808684
607,,,,4.6687,-418.000885
608,44.0,,,5.0224,-356.713365
609,,,,2.1414,-439.067734
610,,,,2.2045,-404.348187
611,,,,1.7035,-424.272624
612,,,,1.9142,-403.182825
613,,,,3.2486,-404.398726
614,,,,4.2943,-416.820814
615,,,21.0,3.5076,-400.700013
616,,,,3.353,-437.885616
617,0.0,0.0,0.0,2.5746,-455.198049
618,,,,3.2714,-416.791729
619,,,,0.9169,-439.144019
620,,,,2.8274,-440.323316
621,,,,3.4933,-466.194836
622,,,,3.4886,-419.269011
623,,,,2.4773,-439.087843
624,,,,0.645,-365.058361
625,,,,1.0244,-400.803796
626,,,,2.3614,-457.759153
627,,,,3.7658,-404.411346
628,,,,3.0893,-387.124434
629,,33.0,,2.3367,-381.536099
630,,,,2.9355,-403.210927
631,,,,4.2811,-288.710744
632,,,,2.8733,-386.178299
633,,,,4.7809,-456.377816
634,,,,2.6239,-347.816233
635,,,,1.5163,-418.034542
636,,,,1.5374,-431.772094
637,,30.0,,3.0737,-431.983605
638,,,,1.5143,-385.831364
639,,,,2.8689,-423.019567
640,,46.0,,1.7744,-414.616878
641,,,,2.1958,-426.664159
642,,,,2.7077,-400.706274
643,,,,0.2774,-349.917249
644,,,,2.5918,-349.054429
645,,,,4.0989,-340.654655
646,,,,0.9042,-387.072556
647,46.0,,,2.584,-475.118252
648,0.0,0.0,0.0,1.0259,-383.704941
649,,,,3.6941,-439.141139
650,,,,2.1212,-410.868519
651,,,,1.7558,-249.307696
652,,,,0.3042,-434.126054
653,,,,3.801,-416.868397
654,,,,2.582,-401.948915
655,,,,4.2725,-440.329361
656,,,,1.6518,-423.021721
657,,,,2.4536,-468.829092
658,33.0,,,1.4288,-460.178219
659,,,,0.7491,-349.902841
660,,,,1.1488,-418.030232
661,,,,5.1478,-439.141314
662,,,,0.4192,-436.694742
663,,,,4.1822,-437.902466
664,,,,3.6691,-437.931765
665,,,,2.8089,-379.91871
666,,,,1.4519,-437.914352
667,,50.0,,2.521,-420.877712
668,,,,1.3026,-421.868852
669,,,31.0,0.2155,-351.222278
670,,,,0.9021,-352.373776
671,,,,2.1321,-364.829407
672,,,,6.6022,-399.614385
673,,,,4.7818,-398.16983
674,,,,2.2778,-401.988805
675,,,,1.8428,-455.199945
676,,,,3.4648,-402.019799
677,11.0,,,2.7438,-494.114732
678,,,,2.3556,-398.223337
679,,,,3.1082,-404.418922
680,,,,2.2118,-403.113469
681,,,,2.0181,-383.726052
682,,,,4.4014,-439.143675
683,13.0,,,4.619,-494.971803
684,,,48.0,2.9759,-437.898406
685,,,,1.5813,-424.223954
686,17.0,,,1.9979,-457.828804
687,,,,2.3769,-424.269866
688,0.0,0.0,0.0,3.847,-403.205973
689,,,10.0,3.1953,-401.956207
690,,,,1.0656,-474.983193
691,,,,1.9317,-421.85643
692,,20.0,,5.2817,-360.064797
693,,,,3.2497,-380.856313
694,,,,2.3013,-401.91687
695,0.0,0.0,0.0,0.9186,-347.786358
696,,,,4.9287,-434.193766
697,,,,4.9233,-401.956655
698,,,,0.0501,-313.079953
699,,,,2.2734,-382.025399
700,,,,1.3892,-367.155694
701,,,,1.6097,-327.903526
702,,,27.0,1.1101,-402.027947
703,,,,1.7197,-421.827244
704,,,,2.0489,-403.133189
705,,,,2.124,-388.292339
706,,,,2.9438,-395.840015
707,,6.0,,3.6891,-438.739902
708,,,,2.0414,-423.101394
709,,,,1.6849,-424.21005
710,,,,3.3089,-400.739464
711,,,,4.3707,-402.001489
712,,,,1.6983,-384.587839
713,,,,1.187,-387.095802
714,0.0,0.0,0.0,0.9946,-329.114529
715,,,,2.3715,-437.931189
716,49.0,,,7.0539,-475.063333
717,,,,1.589,-385.901737
718,0.0,0.0,0.0,1.8086,-404.333347
719,,,,2.1825,-379.924208
720,,,,2.9994,-358.854559
721,,,,2.225,-423.00234
722,,,,2.7663,-387.173385
723,,,,1.7535,-364.777328
724,,,46.0,0.1509,-352.4018
725,,,,3.1333,-383.313444
726,15.0,,,13.9586,-437.833744
727,0.0,0.0,0.0,3.0601,-421.865217
728,,,,2.6651,-387.133608
729,,,,0.8713,-453.952757
730,,,,0.1512,-314.311639
731,,,,2.106,-403.155378
732,,,,0.6713,-440.258059
733,0.0,0.0,0.0,1.6393,-439.041984
734,,,,1.8583,-388.297213
735,,,,3.1672,-424.271771
736,,,,1.3372,-387.108979
737,,,,1.9099,-435.326021
738,,,,1.7691,-400.956478
739,,,,1.5302,-387.122793
740,0.0,0.0,0.0,5.4917,-399.507509
741,,,,4.8789,-382.125989
742,,,,3.6656,-439.174118
743,,,,5.3635,-414.234428
744,,,,0.8425,-389.515511
745,,18.0,,2.0821,-470.082431
746,,,,3.6648,-423.056052
747,,,,2.9062,-362.634091
748,,12.0,,2.4282,-511.04171
749,,,,5.9432,-439.143156
750,,,,3.6638,-402.024618
751,,,28.0,3.1025,-403.116366
752,,,,4.0278,-400.764226
753,,,,3.3961,-401.965112
754,0.0,0.0,0.0,2.0363,-440.314665
755,,,,2.7742,-401.923843
756,,,,2.6304,-349.055742
757,,,,4.4895,-417.992274
758,,,,1.1467,-364.737314
759,,,,1.9155,-455.218781
760,,,,3.2293,-423.081194
761,,,,3.1327,-404.365424
762,,,,2.2422,-439.064571
763,,,,1.5155,-387.142504
764,,,,5.7467,-396.895411
765,,,,3.0151,-418.116058
766,,,,2.0376,-421.799302
767,,,,0.9807,-400.793365
768,,,,2.1794,-360.106384
769,,,,1.1162,-439.148514
770,,,,3.3216,-437.879209
771,,,,0.7658,-349.936496
772,,,,1.7051,-460.145923
773,,,,3.3588,-403.190911
774,,,,1.5305,-435.299644
775,,,,3.0782,-421.775304
776,0.0,0.0,0.0,0.42,-403.118633
777,,,,0.265,-351.199739
778,,,,2.8511,-401.930576
779,,,,2.9661,-419.226919
780,,,,1.7422,-364.751128
781,0.0,0.0,0.0,2.1128,-455.279266
782,,,,1.8839,-381.192191
783,,11.0,,4.5897,-470.111875
784,,,,3.5806,-401.941916
785,,,,1.691,-424.236595
786,,,,4.6623,-401.984071
787,,,,1.4297,-362.60245
788,,,,2.3729,-415.900927
789,,,,1.2634,-388.317478
790,,,,3.6853,-439.118527
791,,,,2.8155,-447.825786
792,,,15.0,1.682,-403.12016
793,,,,4.2366,-418.031566
794,,,,0.343,-340.69137
795,,,,0.7953,-403.114492
796,,,,4.2065,-455.188209
797,,,,1.0645,-346.572765
798,,,,2.009,-422.992633
799,,,,2.712,-384.73294
800,,,,3.8278,-363.904934
801,0.0,0.0,0.0,1.7853,-439.154216
802,,,,1.2799,-385.855861
803,,23.0,,3.5483,-471.248555
804,,,,1.5895,-389.550562
805,,,,5.0762,-399.840299
806,,,,1.5321,-419.269237
807,,,,0.8013,-421.759
808,,,,3.1893,-322.201251
809,,,,4.0958,-421.862109
810,,,,1.41,-385.870999
811,3.0,,,3.6118,-322.207693
812,,,,3.957,-420.457946
813,,,14.0,4.4513,-421.914481
814,,,,3.273,-400.808612
815,,,,3.1308,-437.895137
816,,,,1.3303,-384.609293
817,,,,4.1625,-364.821123
818,,,,1.4118,-388.337679
819,,45.0,,4.0929,-454.052134
820,,,,3.9499,-378.769707
821,,,8.0,2.5974,-437.785906
822,,26.0,,5.9582,-460.244415
823,,,,1.9199,-435.335477
824,,,,1.8892,-415.423098
825,,,,4.1747,-459.008492
