,iteration_qEHVI,iteration_qNEHVI,iteration_random,gap,zpve
141,,,,0.2118,0.119334
142,,,,0.2975,0.202373
143,,,,0.2689,0.173966
144,,,,0.3397,0.179625
145,,,,0.2091,0.134907
146,28.0,,,0.3045,0.154274
147,,,40.0,0.1979,0.136542
148,,,,0.2214,0.136902
149,,,,0.2394,0.126188
150,,,,0.2251,0.159264
151,,,,0.2197,0.127317
152,,,,0.2865,0.145234
153,,,,0.1758,0.119445
154,,,,0.2311,0.097413
155,,,,0.2704,0.114956
156,,,,0.1947,0.077121
157,,,,0.302,0.193145
158,,,,0.3298,0.182571
159,,,,0.2296,0.0739
160,,,,0.31,0.153035
161,,,,0.3155,0.172282
162,,,18.0,0.2746,0.192064
163,,,,0.2924,0.158421
164,,,,0.2818,0.124587
165,,,,0.325,0.205513
166,,,,0.2506,0.144953
167,,,,0.2672,0.170273
168,,,,0.3149,0.179208
169,0.0,0.0,0.0,0.3062,0.159011
170,,,,0.159,0.060068
171,,,,0.2263,0.123708
172,,,,0.2057,0.143912
173,,,,0.2449,0.122516
174,,32.0,,0.3108,0.21651
175,0.0,0.0,0.0,0.2083,0.125155
176,,,,0.2153,0.098916
177,,,,0.3008,0.143978
178,,,,0.3225,0.183664
179,,,,0.321,0.15055
180,,,,0.1689,0.076706
181,,,,0.2989,0.124548
182,9.0,,,0.3439,0.229092
183,,,,0.2737,0.094874
184,,,,0.3217,0.17524
185,,,,0.3279,0.161206
186,,35.0,,0.3303,0.203015
187,,,,0.3544,0.206247
188,,,,0.2223,0.184956
189,,,,0.2286,0.16107
190,,,,0.1732,0.118432
191,,,,0.2592,0.147973
192,,,,0.2364,0.159818
193,0.0,0.0,0.0,0.2478,0.106316
194,,,,0.2244,0.147904
195,,,,0.3,0.173915
196,0.0,0.0,0.0,0.2385,0.162058
197,,,,0.2119,0.125596
198,,,,0.1982,0.183129
199,,,,0.2243,0.033264
200,,,,0.2153,0.085378
201,,,,0.3181,0.182891
202,,,,0.1718,0.102005
203,,,,0.3047,0.183488
204,,,,0.3235,0.184307
205,,,,0.2986,0.160246
206,,,,0.2983,0.14611
207,,,,0.2154,0.098088
208,,,,0.2963,0.192695
209,,,,0.2179,0.124843
210,,,,0.2259,0.155601
211,,,,0.2151,0.136333
212,,,44.0,0.274,0.160861
213,,,,0.3107,0.204346
214,,,,0.1728,0.136431
215,,,,0.2715,0.117109
216,23.0,,,0.222,0.176757
217,,,,0.3217,0.178645
218,,,,0.3066,0.180926
219,,,,0.3079,0.183484
220,,,,0.2728,0.122956
221,,,,0.2083,0.134051
222,,,,0.2855,0.144186
223,,,,0.2363,0.182197
224,,,,0.2805,0.146788
225,,,,0.2137,0.123163
226,,13.0,,0.3311,0.205219
227,,,,0.2629,0.125279
228,,,,0.2972,0.181448
229,,,,0.2238,0.184631
230,,,,0.1868,0.112995
231,,,,0.2328,0.126394
232,,,,0.1834,0.108889
233,5.0,,,0.2581,0.230717
234,,,,0.2813,0.13685
235,0.0,0.0,0.0,0.2549,0.134835
236,,,,0.2303,0.148021
237,,,,0.2491,0.160097
238,,,14.0,0.2182,0.101169
239,0.0,0.0,0.0,0.2889,0.202242
240,0.0,0.0,0.0,0.2732,0.170874
241,,,,0.2228,0.17729
242,,,,0.2779,0.149373
243,,,,0.1844,0.123577
244,,,,0.269,0.129045
245,,,,0.1265,0.064746
246,,,,0.2212,0.158332
247,,,,0.3027,0.14926
248,,,,0.2347,0.149004
249,,,,0.2059,0.133181
250,,,,0.2677,0.137316
251,,,,0.2726,0.192638
252,,,,0.3166,0.153097
253,,,,0.2919,0.168912
254,,22.0,,0.2244,0.204305
255,,,,0.2857,0.147862
256,,,,0.3201,0.20574
257,,,,0.2343,0.155528
258,,,,0.2143,0.13442
259,,10.0,,0.3157,0.225114
260,,,,0.3013,0.180478
261,25.0,,,0.2467,0.207106
262,,,,0.2752,0.15358
263,,,,0.2445,0.146589
264,,,,0.3139,0.135933
265,,,,0.2569,0.126004
266,,,,0.2755,0.171645
267,,,,0.2663,0.146891
268,0.0,0.0,0.0,0.3443,0.193333
269,,,,0.2073,0.121523
270,,,,0.2485,0.161415
271,,,,0.2318,0.138198
272,,,,0.2142,0.146725
273,,,,0.2155,0.158288
274,,,,0.3217,0.204973
275,,,,0.1787,0.091713
276,,,,0.3352,0.178037
277,,,,0.324,0.206556
278,,,,0.2637,0.135254
279,,,,0.3042,0.160896
280,,,,0.1824,0.149725
281,,,,0.2202,0.157512
282,,,,0.3125,0.178518
283,,4.0,,0.3382,0.231557
284,,,,0.2259,0.157027
285,,,,0.3199,0.205958
286,,,,0.2173,0.129946
287,,,,0.2549,0.158806
288,0.0,0.0,0.0,0.341,0.133687
289,,,,0.2064,0.121015
290,,,,0.2959,0.141217
291,6.0,,,0.3324,0.226948
292,,,,0.2606,0.146861
293,,18.0,,0.3233,0.207478
294,,,,0.2138,0.113979
295,10.0,,,0.235,0.225279
296,,,,0.2122,0.131676
297,,,,0.2603,0.146929
298,,,,0.2175,0.155895
299,0.0,0.0,0.0,0.231,0.148473
300,,,,0.2582,0.18444
301,,,,0.2213,0.135373
302,,,,0.3133,0.204218
303,,,,0.2769,0.134666
304,,,,0.2641,0.149309
305,,,,0.2687,0.147586
306,,,,0.1534,0.136855
307,,,,0.1841,0.102268
308,,,,0.3108,0.158415
309,,,,0.2254,0.145837
310,,23.0,,0.1806,0.185424
311,,,,0.16,0.12475
312,,,,0.2308,0.194937
313,,,,0.3133,0.163714
314,,,,0.1968,0.136735
315,,,,0.2286,0.139642
316,,8.0,,0.3204,0.224721
317,,,,0.2048,0.147519
318,,,,0.3141,0.182774
319,,,,0.2928,0.145335
320,,,,0.1783,0.137869
321,,,,0.2772,0.141248
322,,,,0.2076,0.141098
323,,,,0.3038,0.118936
324,,,,0.2094,0.156745
325,,,,0.2093,0.135855
326,,,,0.2564,0.157631
327,,,,0.2815,0.16967
328,,,,0.1936,0.13428
329,,,,0.2195,0.148344
330,,,,0.1954,0.121091
331,,,,0.2151,0.171722
332,,,,0.1976,0.127363
333,,,,0.2616,0.114576
334,,,,0.3322,0.183148
335,,,,0.231,0.181216
336,,,,0.2276,0.201756
337,,,,0.2616,0.114324
338,,,,0.2857,0.146661
339,,,,0.3125,0.173301
340,,,,0.1801,0.15553
341,,,,0.1888,0.12536
342,,,,0.3053,0.159188
343,,,,0.2015,0.124708
344,,,,0.314,0.17455
345,,,,0.2144,0.136925
346,0.0,0.0,0.0,0.3344,0.206578
347,,,,0.2591,0.149308
348,,,,0.2468,0.136888
349,,,16.0,0.2046,0.148118
350,,,5.0,0.2476,0.161412
351,,,,0.311,0.184154
352,,,,0.1938,0.100909
353,,,,0.2156,0.134623
354,,,,0.2326,0.111244
355,,,,0.1828,0.113329
356,,,30.0,0.2264,0.144694
357,,,,0.2324,0.101869
358,,,,0.3024,0.127755
359,,,,0.2729,0.137166
360,,,,0.1656,0.103027
361,,,25.0,0.3277,0.193302
362,,,,0.2318,0.138213
363,,,,0.2603,0.17159
364,,,,0.2701,0.148462
365,,,,0.2068,0.136448
366,,3.0,,0.3262,0.225652
367,,,,0.2231,0.155713
368,,,,0.2156,0.137636
369,,,,0.2163,0.135201
370,,,,0.2404,0.19434
371,,,,0.2424,0.083762
372,,,,0.2213,0.103867
373,,,,0.2863,0.145294
374,,,,0.3043,0.141888
375,,,,0.2216,0.103381
376,,,,0.3199,0.163598
377,,,,0.2284,0.147477
378,,,,0.2681,0.136421
379,,,,0.2991,0.159311
380,0.0,0.0,0.0,0.3236,0.161817
381,,,,0.2487,0.182339
382,,,,0.3112,0.182882
383,,,,0.2834,0.180742
384,,,23.0,0.2245,0.099086
385,,,,0.2463,0.158622
386,,,,0.2088,0.124216
387,,,,0.2111,0.135783
388,,,,0.2563,0.168655
389,,,,0.2148,0.13192
390,,,,0.2728,0.161831
391,,,,0.1506,0.159504
392,,26.0,,0.3297,0.182082
393,,,,0.1677,0.101777
394,,50.0,,0.3208,0.172358
395,22.0,,,0.3428,0.169584
396,,,,0.2541,0.132253
397,,,,0.2293,0.109361
398,,,,0.2903,0.079516
399,,,,0.1771,0.100495
400,,,,0.2548,0.161417
401,,,,0.3131,0.18025
402,,,,0.2275,0.08707
403,,,,0.194,0.108867
404,,,,0.3008,0.151338
405,,,,0.23,0.168884
406,,,,0.1809,0.111387
407,,,,0.2214,0.148741
408,,,,0.2681,0.193264
409,,,,0.1731,0.125193
410,,,,0.2596,0.099947
411,,,,0.3014,0.159842
412,,,,0.1874,0.135004
413,,,,0.2288,0.136084
414,,,,0.2755,0.122426
415,,,,0.2601,0.124362
416,,,,0.2799,0.146027
417,,,38.0,0.2072,0.143124
418,,,,0.219,0.101661
419,,,,0.3308,0.180169
420,,,,0.1703,0.134902
421,,,,0.2226,0.113796
422,,6.0,,0.3368,0.227497
423,,,,0.3235,0.183337
424,,,,0.3068,0.156269
425,,,,0.2047,0.101779
426,,,,0.205,0.119105
427,,,,0.2638,0.136091
428,,,,0.2183,0.141544
429,,,,0.2735,0.14678
430,,,47.0,0.2418,0.162512
431,,,,0.3143,0.193762
432,,,,0.1703,0.125248
433,,,,0.2863,0.13642
434,,,,0.3145,0.182514
435,2.0,,,0.3335,0.249433
436,,,,0.2437,0.154896
437,,,,0.273,0.091004
438,,,,0.1972,0.134468
439,,,,0.2564,0.158281
440,,,,0.2571,0.182584
441,,,,0.251,0.184215
442,,,,0.2134,0.075538
443,,,,0.25,0.170412
444,,,,0.2811,0.150765
445,,,15.0,0.2337,0.124878
446,,,,0.2554,0.18462
447,,,34.0,0.2538,0.178486
448,,,,0.3049,0.155449
449,,,,0.2081,0.146607
450,,,,0.3033,0.1318
451,,,,0.2,0.118971
452,,,,0.2436,0.162656
453,,,,0.2703,0.15604
454,,,,0.3255,0.164601
455,,,,0.2529,0.182608
456,,,,0.2649,0.193095
457,,,8.0,0.384,0.174636
458,,,,0.2294,0.111761
459,,,,0.2464,0.146232
460,,,,0.2261,0.167602
461,,,,0.231,0.136468
462,,,31.0,0.2211,0.160088
463,0.0,0.0,0.0,0.2054,0.156282
464,,,,0.3201,0.159692
465,,,,0.2353,0.12367
466,,,,0.2206,0.133646
467,,,,0.2133,0.15499
468,,,,0.3117,0.161884
469,,,,0.3342,0.154866
470,,,,0.3032,0.162761
471,,,,0.1976,0.111439
472,,,,0.2268,0.111262
473,,,,0.2751,0.134251
474,0.0,0.0,0.0,0.3256,0.228383
475,,,,0.201,0.145024
476,,,,0.2243,0.121788
477,,,,0.232,0.136165
478,,,,0.2536,0.134791
479,,,,0.2076,0.116313
480,0.0,0.0,0.0,0.2125,0.158371
481,,,20.0,0.2613,0.158582
482,,,,0.266,0.146186
483,,,,0.193,0.111214
484,,,,0.2598,0.146412
485,,,,0.193,0.103299
486,,,,0.2351,0.15985
487,,,,0.2451,0.159517
488,,,,0.2155,0.123176
489,,,,0.2343,0.160932
490,0.0,0.0,0.0,0.2696,0.117592
491,,,,0.2623,0.101619
492,,,,0.292,0.150872
493,,38.0,,0.3375,0.202592
494,,,,0.2036,0.170463
495,,,,0.2665,0.146024
496,,,,0.3212,0.161603
497,,,,0.2169,0.147589
498,,,,0.2218,0.136325
499,,,,0.2164,0.091602
500,,,,0.2535,0.164163
501,,,,0.1745,0.113827
502,0.0,0.0,0.0,0.2586,0.144771
503,,15.0,,0.3163,0.208878
504,,,,0.2286,0.147843
505,,,,0.234,0.111813
506,,,,0.2769,0.133681
507,,,,0.2066,0.157405
508,,,11.0,0.2415,0.120366
509,,,,0.1928,0.101652
510,0.0,0.0,0.0,0.3241,0.208189
511,,,,0.2079,0.145375
512,,,,0.2553,0.133847
513,,,27.0,0.2044,0.133898
514,,,,0.2213,0.179142
515,,,,0.2584,0.119895
516,,,,0.3086,0.204085
517,,,,0.3056,0.182177
518,,,,0.2626,0.181223
519,,,,0.3073,0.147686
520,,,,0.2078,0.115543
521,,,,0.1872,0.135003
522,,,,0.2053,0.09767
523,,,,0.2238,0.094356
524,,,,0.2396,0.108193
525,,,,0.3266,0.153813
526,,,9.0,0.192,0.124135
527,,,,0.2182,0.112657
528,,,,0.3173,0.168874
529,,,,0.2295,0.106841
530,1.0,,,0.2469,0.025718
531,0.0,0.0,0.0,0.1884,0.123738
532,,,32.0,0.2365,0.121167
533,,,,0.2754,0.18106
534,,,,0.2626,0.161057
535,,,,0.3092,0.202473
536,,,,0.1698,0.099744
537,,,,0.3024,0.178936
538,,,,0.2021,0.115998
539,,,,0.2179,0.131796
540,,,43.0,0.219,0.169054
541,,,,0.224,0.094448
542,,,,0.3196,0.182534
543,,,,0.2503,0.171994
544,,,,0.302,0.192908
545,,,,0.3126,0.169812
546,,,,0.3237,0.162295
547,,,,0.2375,0.112578
548,,,,0.2898,0.147881
549,,,,0.2849,0.1446
550,,,,0.24,0.160086
551,,,,0.2612,0.133632
552,,,,0.3046,0.161629
553,,,,0.1402,0.136489
554,,,,0.2567,0.180853
555,,,,0.3055,0.160764
556,,,,0.2575,0.182577
557,,,,0.2681,0.172806
558,,,,0.3147,0.161313
559,,,,0.2567,0.159368
560,,,,0.2116,0.104811
561,,,,0.182,0.135624
562,,,,0.168,0.100384
563,,,,0.2295,0.173076
564,,,,0.2106,0.17122
565,,,,0.2141,0.137913
566,,,,0.2767,0.158349
567,0.0,0.0,0.0,0.2199,0.125864
568,,,,0.2694,0.134364
569,,,,0.3132,0.163537
570,,,,0.2365,0.136995
571,,,13.0,0.311,0.1809
572,,,,0.2098,0.156431
573,,,,0.2449,0.148616
574,,,,0.2613,0.113759
575,,,,0.2099,0.143965
576,,,,0.292,0.180567
577,,,,0.2251,0.155543
578,,,,0.3352,0.182101
579,0.0,0.0,0.0,0.2404,0.131532
580,,,,0.2332,0.118091
581,,,,0.2505,0.147632
582,,,,0.2565,0.154488
583,,,,0.2488,0.136415
584,,,,0.2298,0.122955
585,,,,0.3188,0.173739
586,,,,0.2117,0.168767
587,,,,0.217,0.150289
588,,,,0.2263,0.160298
589,,,,0.2348,0.183267
590,,,,0.2239,0.135301
591,,,,0.2386,0.065299
592,,,,0.2176,0.177856
593,,,,0.2256,0.160965
594,,,,0.2761,0.133315
595,,,,0.2261,0.184193
596,,,,0.3108,0.184182
597,,,,0.2226,0.167648
598,,,,0.2979,0.180996
599,,,,0.2232,0.109211
600,,,,0.2211,0.107835
601,,,,0.2504,0.180804
602,,,,0.3165,0.162873
603,,,,0.2236,0.132918
604,,,,0.2271,0.202506
605,,,,0.1995,0.147294
606,,,,0.282,0.181582
607,,,,0.2765,0.16885
608,,,10.0,0.3125,0.148317
609,,,,0.2037,0.155371
610,17.0,,,0.3478,0.216317
611,,,,0.2547,0.173389
612,,,48.0,0.2041,0.149399
613,,,,0.183,0.163569
614,,17.0,,0.2272,0.20319
615,,,,0.3099,0.192334
616,0.0,0.0,0.0,0.2803,0.1683
617,,,,0.2399,0.130772
618,,,,0.2849,0.147756
619,,,,0.2918,0.1687
620,,,,0.221,0.159169
621,,,,0.2381,0.129449
622,,,,0.3014,0.179721
623,,,,0.2179,0.170052
624,0.0,0.0,0.0,0.2084,0.117532
625,,,,0.3101,0.172609
626,,,,0.2988,0.194071
627,,,,0.2629,0.144515
628,,,,0.2998,0.147138
629,,,,0.2732,0.162629
630,,,,0.2663,0.145996
631,,,,0.1742,0.074241
632,,,,0.2728,0.196534
633,,,,0.3426,0.158735
634,,,,0.2462,0.119865
635,,,,0.2882,0.118638
636,,,,0.2195,0.123967
637,,,,0.2245,0.126894
638,,,,0.2662,0.115707
639,,,,0.2703,0.157179
640,0.0,0.0,0.0,0.2055,0.089502
641,,,,0.2992,0.126333
642,,,,0.2213,0.114857
643,,,24.0,0.234,0.203417
644,14.0,,,0.324,0.205711
645,,,,0.216,0.160204
646,,,,0.1989,0.093849
647,,,12.0,0.2229,0.180697
648,,,,0.2534,0.148798
649,,,,0.2253,0.125113
650,,,,0.1909,0.096572
651,,,,0.3109,0.181007
652,,,,0.2537,0.172235
653,,,,0.2536,0.121026
654,,,,0.2377,0.150216
655,,,,0.2013,0.156497
656,,,,0.2893,0.145243
657,,,,0.271,0.153057
658,,14.0,,0.3153,0.206586
659,,,,0.221,0.139011
660,,,,0.2456,0.16967
661,,,,0.3132,0.113892
662,,,,0.2218,0.17949
663,,,,0.1838,0.160955
664,,,,0.1765,0.126235
665,,,,0.245,0.180985
666,,,,0.3317,0.161892
667,,,,0.1829,0.120066
668,,,,0.307,0.18607
669,,,,0.2032,0.132255
670,,,,0.196,0.162069
671,,,,0.2632,0.138869
672,,,,0.2686,0.147366
673,,,,0.2169,0.14914
674,,,,0.2139,0.13503
675,0.0,0.0,0.0,0.2331,0.160078
676,,,,0.2707,0.13133
677,,,,0.3035,0.111728
678,,,,0.2645,0.11694
679,26.0,,,0.3107,0.204172
680,,,49.0,0.2591,0.122039
681,,,,0.2274,0.142838
682,,,50.0,0.33,0.177522
683,,,,0.2178,0.110298
684,,,,0.2937,0.113218
685,,,,0.3047,0.16325
686,,,,0.2434,0.110773
687,19.0,,,0.2867,0.214181
688,,,,0.2808,0.192415
689,,,,0.2164,0.139082
690,,,,0.2748,0.171329
691,,,,0.234,0.115284
692,,,,0.2728,0.138007
693,,,,0.262,0.158896
694,,,,0.2237,0.182918
695,,,37.0,0.3221,0.17183
696,,,,0.2034,0.081791
697,,,,0.1792,0.102267
698,,,,0.2973,0.172302
699,4.0,,,0.3337,0.228
700,,,,0.2526,0.144928
701,,,,0.2507,0.100464
702,,,,0.3324,0.183887
703,,,,0.1954,0.122511
704,,,,0.2442,0.182794
705,,,,0.2449,0.160785
706,,,,0.1721,0.104615
707,,,26.0,0.3101,0.162497
708,,,,0.1401,0.106306
709,0.0,0.0,0.0,0.2611,0.161468
710,,,,0.2233,0.146225
711,,,,0.269,0.14923
712,,,,0.2245,0.202592
713,,,,0.2145,0.137059
714,,,,0.3318,0.176417
715,,,,0.2996,0.123591
716,,,,0.2469,0.120443
717,,,,0.2469,0.124673
718,,,,0.2546,0.134298
719,,,,0.2432,0.148405
720,,,,0.2873,0.185625
721,,,,0.2774,0.141335
722,,25.0,,0.3306,0.204661
723,,,,0.2999,0.136229
724,0.0,0.0,0.0,0.2422,0.133158
725,,,,0.3175,0.139396
726,,,28.0,0.2402,0.131718
727,,,,0.2641,0.132924
728,,,,0.3025,0.169084
729,0.0,0.0,0.0,0.2232,0.110462
730,0.0,0.0,0.0,0.2108,0.088333
731,,,,0.2588,0.140705
732,,,,0.3038,0.169145
733,,,,0.2745,0.153464
734,,,,0.2414,0.149085
735,,,,0.2147,0.132108
736,,,,0.3248,0.160853
737,,,,0.1917,0.169203
738,,,,0.2108,0.174991
739,,,,0.2135,0.098282
740,,,,0.1783,0.182096
741,8.0,,,0.2612,0.229064
742,,,,0.3022,0.124204
743,,,,0.1917,0.089852
744,0.0,0.0,0.0,0.3116,0.184788
745,,,,0.2928,0.154459
746,,,,0.2854,0.171347
747,,,,0.3329,0.180453
748,,,,0.3146,0.204054
749,,,,0.2189,0.159317
750,0.0,0.0,0.0,0.2388,0.138078
751,,,,0.239,0.171617
752,,,,0.229,0.12472
753,,,,0.3061,0.195734
754,,,,0.2267,0.10583
755,,,,0.2143,0.134989
756,,,,0.2059,0.110056
757,,,,0.2517,0.183957
758,,,,0.2688,0.172768
759,,,,0.2643,0.112428
760,,,,0.2729,0.149472
761,,,,0.1502,0.078427
762,,,,0.2205,0.203733
763,0.0,0.0,0.0,0.216,0.114302
764,,,,0.2209,0.156002
765,,,,0.234,0.150896
766,,,,0.2756,0.134863
767,,,,0.1786,0.11026
768,,,,0.3044,0.158585
769,,,,0.283,0.151299
770,,,,0.2731,0.136268
771,,,,0.2118,0.15897
772,,,,0.2485,0.185538
773,,,,0.2449,0.160008
774,,,,0.2768,0.171033
775,,,,0.2165,0.134954
776,,,21.0,0.2909,0.15594
777,,,,0.2202,0.130069
778,,,,0.227,0.137466
779,,,,0.2242,0.18122
780,0.0,0.0,0.0,0.3109,0.131929
781,,,,0.2999,0.149867
782,,,,0.2977,0.17168
783,,,,0.2229,0.133705
784,,,,0.2959,0.151244
785,,,,0.2772,0.172098
786,,,,0.2792,0.126836
787,,,,0.2582,0.134888
788,,,,0.2129,0.159779
789,,,,0.2887,0.160418
790,,,,0.2919,0.147931
791,,,,0.2796,0.168586
792,,,,0.3006,0.183244
793,,,,0.1728,0.115559
794,,,,0.1775,0.148634
795,,,,0.188,0.12008
796,,,,0.2283,0.158642
797,,,,0.3006,0.110565
798,,,,0.3195,0.163667
799,0.0,0.0,0.0,0.2047,0.183694
800,,,,0.2203,0.13487
801,,,,0.1869,0.13845
802,,,,0.2272,0.122944
803,,,,0.1899,0.159903
804,,,,0.3176,0.181458
805,,,,0.2718,0.133985
806,,,,0.2015,0.077257
807,,,,0.2291,0.179613
808,,,,0.3117,0.174714
809,,,,0.2693,0.146698
810,,,,0.214,0.108615
811,,,22.0,0.2638,0.170963
812,,,,0.2104,0.135774
813,,,,0.3042,0.159869
814,0.0,0.0,0.0,0.2432,0.14553
815,,,,0.2587,0.181825
816,,,,0.2227,0.149291
817,,,,0.2077,0.132985
818,,,,0.3244,0.17846
819,,,17.0,0.1827,0.125761
820,,,,0.3069,0.182173
821,,,,0.2244,0.182305
822,,,,0.2521,0.098706
823,,,,0.1507,0.106097
824,,,,0.1743,0.113702
825,15.0,,,0.2919,0.201375
826,,2.0,,0.3317,0.250193
827,,,,0.1846,0.086907
828,,,4.0,0.3363,0.225964
829,,,,0.2155,0.101915
830,,,,0.2611,0.15864
831,,,,0.2297,0.095405
832,,,,0.2834,0.125906
833,,,,0.2705,0.131969
834,,,,0.214,0.145947
835,,,,0.2864,0.152874
836,,,,0.262,0.088806
837,0.0,0.0,0.0,0.2384,0.073102
838,,,,0.2109,0.157766
839,,,,0.2139,0.087129
840,,,,0.1925,0.182343
841,,,,0.3201,0.145808
842,,,19.0,0.3051,0.155581
843,,,,0.2784,0.171169
844,,,,0.2506,0.158826
845,,,,0.2671,0.136863
846,,,,0.2405,0.137233
847,,,,0.1918,0.077896
848,,,,0.2391,0.134277
849,,,,0.1974,0.123753
850,,1.0,,0.2676,0.146818
851,,24.0,,0.2839,0.180677
852,,,3.0,0.2588,0.146766
853,,,,0.285,0.137126
854,,,,0.323,0.168927
855,,,,0.2774,0.115801
856,,,,0.1461,0.088424
857,,,,0.2542,0.158815
858,,20.0,,0.3195,0.205435
859,,,,0.2473,0.184067
860,,,,0.1896,0.14882
861,,,39.0,0.3022,0.149447
862,,,,0.2021,0.125338
863,,,,0.2197,0.154687
864,12.0,,,0.3252,0.206363
865,,,,0.3088,0.149708
866,,45.0,,0.3568,0.194358
867,,,,0.2756,0.147227
868,,,,0.2021,0.126387
869,0.0,0.0,0.0,0.2295,0.105224
870,,,,0.312,0.195817
871,,,,0.1922,0.113173
872,,,,0.2753,0.147944
873,,,,0.1893,0.121621
874,,,,0.1955,0.11056
875,,,,0.2329,0.097002
876,,,,0.282,0.14615
877,,,,0.3092,0.150365
878,,,41.0,0.2881,0.151135
