,iteration_qEHVI,iteration_qNEHVI,iteration_random,mu,alpha
487,,,,4.0379,71.78
488,,,32.0,2.3074,69.85
489,,,,1.5219,79.66
490,,,,2.94,66.59
491,,,,4.5127,73.95
492,,,,4.9466,62.64
493,,25.0,,2.5432,80.92
494,,,,1.251,64.02
495,,,36.0,1.3904,70.39
496,,,,3.5746,55.64
497,,,,1.432,84.37
498,,,,2.9755,79.08
499,,,,1.0416,82.36
500,0.0,0.0,0.0,4.2387,85.22
501,,,,1.3518,67.73
502,,,,2.0922,67.7
503,,,,4.2697,58.62
504,,,,3.4575,69.58
505,,,,0.5587,88.05
506,,,,2.2015,66.21
507,,,,2.3985,81.05
508,,,,5.1918,81.46
509,,,,1.2998,78.16
510,,28.0,,2.9608,81.23
511,,,,2.3412,66.28
512,,,,0.7598,67.69
513,,31.0,,0.2969,89.57
514,0.0,0.0,0.0,0.8597,82.89
515,,15.0,,1.2194,85.47
516,,,,1.4225,79.0
517,,,,2.2306,78.67
518,,,,2.7081,70.86
519,,,,1.733,81.28
520,0.0,0.0,0.0,1.2231,61.92
521,,,,1.7584,66.74
522,,,,3.4748,72.35
523,,,,2.8301,82.0
524,,,,1.2253,76.16
525,31.0,,,0.6509,94.61
526,,,,3.634,76.03
527,,,22.0,0.9699,73.46
528,,3.0,,3.7524,89.92
529,42.0,,,1.7692,88.55
530,,,,14.0608,81.62
531,,,,3.0944,76.21
532,,,,5.2359,74.33
533,,,,4.3812,77.74
534,,,,1.7124,68.17
535,,,,1.4478,74.54
536,,,,7.1421,69.77
537,,,,3.1247,74.73
538,,,,1.8264,69.79
539,,,,1.8547,78.58
540,,,,3.6301,79.79
541,,,,1.7034,72.03
542,36.0,,,3.2214,88.28
543,,,,4.7933,75.67
544,18.0,,,1.0888,88.0
545,,,,3.2299,68.26
546,,,,1.6625,74.65
547,,,,3.4257,82.02
548,,,,2.3449,74.84
549,,,,3.3666,83.99
550,,,,1.7413,77.75
551,,42.0,,4.2081,77.59
552,,,,1.8452,70.66
553,,,,0.898,71.86
554,,,,1.7324,74.25
555,,,,2.718,74.99
556,13.0,,,1.6272,88.95
557,,,,1.4112,82.31
558,,,,4.3468,65.58
559,,,,4.6763,77.94
560,,,,3.8275,72.41
561,,,,3.6081,78.65
562,,,,2.6238,77.34
563,,,,0.8515,78.54
564,,,,3.8414,72.13
565,,,,3.6489,76.77
566,0.0,0.0,0.0,1.2552,75.34
567,,,,3.1285,70.12
568,0.0,0.0,0.0,1.7984,76.35
569,,,31.0,2.9467,67.73
570,,,,4.2174,69.15
571,,,,2.2138,78.53
572,,,,3.1679,73.32
573,,,,5.1817,81.28
574,,,,1.1678,84.03
575,,,,3.5541,80.59
576,,,,2.4287,77.86
577,10.0,,,0.995,86.27
578,,,,4.4823,72.67
579,,,,0.6992,77.18
580,,,,3.7817,82.93
581,,,,1.5906,75.59
582,,,,1.2292,76.19
583,,,,0.1679,79.55
584,,,,1.5434,72.49
585,,,,1.9545,69.49
586,,,,2.0053,65.41
587,,,,2.5876,74.45
588,,,,3.8621,63.19
589,,,,3.6632,76.2
590,,,,2.5397,71.03
591,,,,5.068,77.15
592,,,,3.3407,76.68
593,27.0,,,0.2351,88.49
594,,,,1.3609,81.78
595,,,,2.9047,62.26
596,,,,0.5565,65.13
597,,,,3.1558,68.6
598,,,21.0,2.4995,81.26
599,,,,2.4017,59.91
600,,14.0,,1.425,82.24
601,,40.0,,2.9703,85.95
602,,,,2.5632,72.0
603,,,,3.1585,76.02
604,,,,4.3519,70.52
605,,,,2.6379,81.4
606,,,,4.3141,75.36
607,,,,5.1825,74.57
608,,,,2.4859,63.97
609,,,,5.7223,90.14
610,,,46.0,0.7567,78.09
611,,,7.0,3.4946,76.14
612,0.0,0.0,0.0,3.3904,76.69
613,,,,3.0777,79.42
614,,,,3.2896,56.29
615,,,,1.6894,67.89
616,,,,1.8932,78.99
617,,,,1.4579,72.99
618,,,,1.5017,70.28
619,,,10.0,2.0862,66.01
620,,,,3.4933,69.91
621,,,,1.6105,72.39
622,,,,2.1113,74.3
623,,,5.0,1.6712,73.45
624,0.0,0.0,0.0,2.7428,79.25
625,,,,3.4953,55.38
626,,35.0,,3.3733,82.8
627,,,,2.8542,61.29
628,,,,5.7462,63.52
629,,,,2.462,57.94
630,,,,1.0858,83.94
631,,,,2.5775,78.11
632,,,,3.3302,56.72
633,50.0,,,0.8866,82.34
634,,,,1.1731,82.03
635,,,25.0,1.0706,73.73
636,,,,2.1434,78.14
637,,,,4.1767,76.87
638,,,,1.4922,84.33
639,,,,3.374,65.47
640,,,15.0,2.0362,76.69
641,,,,5.0998,74.26
642,,,,2.7616,71.53
643,,,,3.4302,79.36
644,,,,0.4879,76.61
645,,,,6.0551,63.63
646,,,,4.0365,67.75
647,,,,1.637,60.89
648,,,,2.7712,43.08
649,,,,2.3613,77.1
650,,,,1.0414,83.25
651,,,,2.5379,72.81
652,,,,2.2167,83.15
653,,,,3.0191,68.42
654,,,24.0,4.0902,72.94
655,,,,2.0682,88.83
656,,,,3.0559,70.09
657,,,,3.2199,80.41
658,,,,0.1133,74.26
659,,,,1.9667,64.26
660,,,,2.9406,74.8
661,0.0,0.0,0.0,0.2448,77.8
662,,,,3.8469,62.3
663,,,,0.8488,75.71
664,,,,2.9301,69.49
665,,,,1.2835,84.97
666,,,,3.9183,74.13
667,,,,1.7031,84.64
668,,,,4.8076,78.29
669,,8.0,,2.7709,85.44
670,,,,1.4775,87.87
671,,,,5.1537,57.25
672,,,,2.9602,70.65
673,,,,4.117,66.34
674,,,,3.5877,78.64
675,,,,3.9097,67.8
676,,,,3.2936,78.26
677,,,,2.6978,78.65
678,,,,3.6176,70.63
679,,,,1.5644,78.8
680,,,,2.313,75.22
681,,,,7.0618,67.4
682,,,1.0,0.818,62.41
683,,,,3.6542,78.7
684,0.0,0.0,0.0,6.534,69.93
685,,,,4.3886,74.22
686,,,,1.8359,74.34
687,,,48.0,3.7065,56.39
688,,,,4.4181,68.2
689,,,,1.4048,80.07
690,,,,1.5816,81.34
691,,,,4.8844,84.97
692,,,,3.7883,64.12
693,,,,1.8604,69.88
694,,,,2.4278,56.55
695,,,,3.6309,73.38
696,,13.0,,2.8708,86.71
697,0.0,0.0,0.0,5.5378,68.09
698,,,,2.8036,69.97
699,,,,2.1095,74.41
700,,,,3.6492,68.08
701,,20.0,,0.2361,95.02
702,,,,2.3528,77.79
703,0.0,0.0,0.0,3.3641,32.83
704,,,,2.7577,67.08
705,,,,2.1853,87.87
706,,,,3.2563,73.45
707,,,33.0,2.1477,77.32
708,,,,1.7483,81.01
709,,,,2.9689,77.68
710,,,,1.6791,80.09
711,,38.0,,1.9076,78.48
712,,,,1.7429,75.96
713,,,,3.2403,69.79
714,,,,0.291,85.7
715,,,,3.248,66.88
716,8.0,,,0.1587,95.51
717,,,,2.2604,70.77
718,,,,2.331,81.46
719,25.0,,,0.3297,91.06
720,,,,2.3469,80.24
721,,,,6.2546,74.5
722,,,,2.6009,74.08
723,,,,1.8765,69.94
724,,41.0,,2.434,84.46
725,,,,2.6105,68.91
726,,46.0,,4.0237,81.08
727,,,,5.4466,75.78
728,,2.0,,0.0661,95.3
729,,,,1.5081,78.68
730,,,,1.225,80.08
731,,,,1.3996,78.02
732,40.0,,,0.1246,93.13
733,,,,2.6659,72.96
734,0.0,0.0,0.0,0.0584,84.48
735,,,,2.0601,73.72
736,,,,1.2643,78.41
737,,,,1.261,81.65
738,,,,4.9889,72.52
739,,,,2.0586,86.33
740,,24.0,,3.3506,83.01
741,,,,1.8836,66.63
742,,,50.0,1.6994,67.79
743,,12.0,,0.0764,95.73
744,,,4.0,4.2349,76.68
745,,43.0,,2.4943,82.69
746,,,,2.3,78.26
747,,,,2.5385,71.26
748,0.0,0.0,0.0,2.0767,72.87
749,,,,4.7974,71.36
750,,,,1.5186,70.24
751,,,,3.1715,82.02
752,,,,2.137,72.98
753,,,,3.2491,77.52
754,,,,1.9691,69.41
755,,,,6.2828,80.43
756,,,,2.6739,63.72
757,,,,1.8814,77.33
758,,,,3.0933,81.67
759,30.0,,,4.3122,83.41
760,,,,1.4818,72.31
761,,,,1.6129,78.23
762,,,,1.6077,79.41
763,,,28.0,3.9438,82.29
764,,,,0.7892,73.24
765,,,,1.3778,62.69
766,,,,1.1691,77.68
767,,,,4.589,76.12
768,,,,0.2579,75.93
769,,,,3.0374,68.01
770,,,,1.5762,82.24
771,,,,1.8019,79.48
772,,,,0.821,81.79
773,,,44.0,1.5121,80.41
774,,,,3.1499,79.13
775,,,23.0,5.7198,51.27
776,,,,2.1217,75.22
777,34.0,,,1.5551,89.06
778,,,,2.5404,71.75
779,,,,2.6714,64.86
780,,,,1.2366,73.76
781,,,,1.4011,68.31
782,,,,3.667,78.85
783,,,,3.6358,71.91
784,,,,5.1252,77.91
785,,,,2.684,81.97
786,,,,1.8246,69.99
787,,,,1.6602,70.97
788,,,,0.9583,60.93
789,0.0,0.0,0.0,1.9663,79.47
790,,,,1.5957,60.8
791,,,,0.7524,79.7
792,,,,3.1313,75.33
793,,,,2.0376,74.33
794,,,,17.7162,74.31
795,,,,2.1286,76.4
796,,,,1.3717,81.86
797,,,,1.9409,56.47
798,,,,1.5664,70.55
799,,,,2.438,76.17
800,,,,3.7825,72.67
801,,,,4.5417,68.02
802,,11.0,,4.2386,81.18
803,,,,2.0785,71.95
804,,,,1.5846,69.67
805,,,,1.1903,75.32
806,,,,3.8643,71.39
807,,,,1.3738,80.13
808,,,,0.996,79.86
809,,,,1.5501,75.74
810,,,,1.5016,66.83
811,43.0,,,2.9907,79.61
812,,,,6.435,67.8
813,,,,0.3672,64.55
814,,,,1.9606,76.9
815,,,,4.2133,65.34
816,,,,4.1362,80.03
817,,,,1.3484,64.04
818,,,,2.1,83.65
819,,,,3.7834,73.37
820,,,,1.9424,76.3
821,,,,3.7475,80.63
822,0.0,0.0,0.0,1.4235,66.81
823,,,,1.731,66.73
824,2.0,,,2.3845,91.0
825,,,,1.6507,72.79
826,,,,1.9409,82.2
827,0.0,0.0,0.0,2.5373,73.93
828,,,,2.8058,83.36
829,,,,4.1778,77.39
830,,,,2.1842,67.64
831,15.0,,,1.352,88.93
832,0.0,0.0,0.0,3.5847,87.02
833,,,,2.4547,69.51
834,,,,1.9795,74.28
835,,17.0,,1.0399,84.9
836,0.0,0.0,0.0,2.5796,71.73
837,,,,1.5416,81.34
838,,,,3.6788,73.77
839,,,,2.6465,82.14
840,,,,4.8194,77.61
841,,,,1.6262,77.52
842,,,,2.3992,74.12
843,,,,2.477,80.63
844,,,,2.4625,60.1
845,,,29.0,1.1867,74.11
846,,,,5.5865,58.89
847,,,,3.2114,73.26
848,,,,2.5552,56.26
849,23.0,,,0.2381,97.21
850,,,,4.1612,76.45
851,,,,1.5134,67.92
852,,,,3.3785,76.86
853,49.0,,,1.2549,88.76
854,,,,3.2521,81.86
855,,,,1.3937,71.03
856,,,,1.7836,75.26
857,,,,3.2758,80.69
858,,,,5.0972,72.22
859,,,14.0,5.0143,83.25
860,,,,2.5122,62.59
861,,,41.0,1.6336,64.77
862,,,,3.9331,67.29
863,,48.0,,4.3773,78.77
864,,,,3.2031,82.24
865,,,,1.9151,65.84
866,,,,6.2139,71.09
867,,,,3.7967,71.82
868,,,,1.8233,68.22
869,0.0,0.0,0.0,1.0891,68.65
870,,,,1.1493,71.14
871,,,,2.5846,75.16
872,,,,4.0091,70.32
873,,,,2.3358,65.84
874,,,,2.3814,82.66
875,,,20.0,1.1407,73.45
876,,,,4.3194,77.97
877,,,,5.1203,65.12
878,,,,0.9819,73.02
879,,,,4.3633,60.12
880,9.0,,,0.1806,89.48
881,,,,3.9695,70.26
882,,,,1.6157,69.09
883,,,,4.1015,61.93
884,,,,2.1948,79.96
885,,,,3.8521,76.25
886,,,,8.8749,52.78
887,,,,4.9799,74.12
888,,,,1.5695,83.62
889,,,,1.7033,76.39
890,,,,1.7456,79.97
891,,,,3.6551,65.88
892,,,,6.5576,78.61
893,,,19.0,3.6826,79.17
894,,,,3.2556,68.59
895,29.0,,,1.5279,83.85
896,,,,1.6697,82.03
897,,,,4.74,73.0
898,0.0,0.0,0.0,0.1508,90.72
899,,,,1.8714,78.69
900,0.0,0.0,0.0,4.1499,73.02
901,,,,5.3679,82.36
902,0.0,0.0,0.0,3.696,77.55
903,4.0,,,0.9342,86.55
904,,,,2.822,68.65
905,,,,5.6386,66.99
906,,,45.0,5.2515,76.98
907,,,,3.9074,67.83
908,,,,0.8186,80.55
909,,,,3.9124,70.28
910,,,,3.819,75.52
911,,,,1.5733,74.07
912,,6.0,,6.8054,73.99
913,1.0,,,2.6234,79.96
914,0.0,0.0,0.0,2.8611,81.57
915,,,,2.8367,69.02
916,,,,1.9001,74.93
917,,,,1.9283,69.19
918,,,,2.0153,69.38
919,,,,3.1413,75.76
920,,,,2.7987,71.64
921,,,,5.9931,79.08
922,,,,2.0892,86.78
923,,,,3.7451,69.99
924,,10.0,,5.9914,69.75
925,,,,5.0913,75.98
926,24.0,,,1.5992,91.69
927,,,,6.3854,72.85
928,,,,4.4962,72.54
929,,,,2.0351,75.98
930,,,,1.639,79.79
931,0.0,0.0,0.0,2.3852,81.58
932,,,,4.2991,72.32
933,,,,1.8027,82.77
934,,,,2.4304,78.31
935,,,,2.3234,71.31
936,,,,0.5669,77.8
937,,,,0.9052,74.78
938,,44.0,,1.6769,76.6
